lat,long,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,sale_date,sale_year,sale_month,sale_quarter,sale_tenure,yr_since_last_renovated,price_m2,Dist_from_seattle,Clusters
47.1924,-121.988,2520069100,20141016T000000,275000,4,2,1960,30480,1,0,2,4,7,1060,900,1972,0,98022,1460,8914,2014-10-16,2014,10,Q4,42,0,140.30612244897958,53148.77598730544,6
47.1927,-122.011,3797310010,20140827T000000,277000,3,2.25,2160,9612,2,0,0,3,7,2160,0,1994,0,98022,1970,9247,2014-08-27,2014,08,Q3,20,0,128.24074074074073,52288.02430560475,6
47.1927,-122.015,3797310150,20150218T000000,285000,4,2.5,1800,9229,2,0,0,3,7,1800,0,1994,0,98022,1970,9231,2015-02-18,2015,02,Q1,21,0,158.33333333333334,52147.91534541267,6
47.1928,-122.01,3797300140,20140721T000000,303000,3,2.75,1850,8820,2,0,0,4,8,1850,0,1993,0,98022,1850,8651,2014-07-21,2014,07,Q3,21,0,163.78378378378378,52313.41750602361,6
47.1932,-122.008,3797300190,20140708T000000,308950,4,2.5,1920,8562,2,0,2,4,7,1920,0,1994,0,98022,1820,8628,2014-07-08,2014,07,Q3,20,0,160.91145833333334,52344.83552776982,6
47.1937,-121.98,5702380500,20140908T000000,285000,3,1.75,1160,7006,1,0,0,4,7,1160,0,1992,0,98022,1670,7750,2014-09-08,2014,09,Q3,22,0,245.68965517241378,53322.643128294454,6
47.1938,-121.981,5702380780,20150422T000000,240000,3,1.75,1540,6687,1,0,0,3,7,1200,340,1991,0,98022,1540,7242,2015-04-22,2015,04,Q2,24,0,155.84415584415584,53275.22090218644,6
47.1941,-121.979,2309710230,20150415T000000,275000,3,2.75,1740,5757,1,0,0,3,7,1740,0,2010,0,98022,2380,5647,2015-04-15,2015,04,Q2,5,0,158.04597701149424,53321.96428379854,6
47.1941,-122.038,2820069048,20150504T000000,468000,4,2.5,2480,176418,1.5,0,3,5,8,2480,0,1927,0,98022,1640,112384,2015-05-04,2015,05,Q2,88,0,188.70967741935485,51228.848863480125,6
47.1942,-121.977,2309710070,20150114T000000,280000,3,2.75,1740,5639,1,0,3,3,7,1740,0,2010,0,98022,2380,5331,2015-01-14,2015,01,Q1,5,0,160.91954022988506,53388.34697166735,6
47.1943,-121.991,6802210330,20150429T000000,270000,3,2.5,1430,8470,1,0,0,3,7,1190,240,1992,0,98022,1670,8418,2015-04-29,2015,04,Q2,23,0,188.8111888111888,52853.25934566973,6
47.1944,-121.974,8141310180,20141118T000000,277500,3,2.5,2620,4558,2,0,3,3,7,2620,0,2010,0,98022,1670,4558,2014-11-18,2014,11,Q4,4,0,105.91603053435115,53483.76811349157,6
47.1944,-122.013,7138200150,20140518T000000,297000,5,2.5,1970,8605,2,0,0,4,7,1970,0,1994,0,98022,1970,8460,2014-05-18,2014,05,Q2,20,0,150.76142131979697,52050.14049155082,6
47.1946,-122,7575500150,20140924T000000,207200,4,2,1260,8400,1,0,0,3,6,1260,0,1991,0,98022,1120,8400,2014-09-24,2014,09,Q3,23,0,164.44444444444446,52494.55450541749,6
47.1947,-121.989,6802200100,20150115T000000,271900,3,2,1450,8771,2,0,0,4,7,1450,0,1991,0,98022,1450,8653,2015-01-15,2015,01,Q1,24,0,187.51724137931035,52888.56920497394,6
47.1947,-122.008,2571900430,20140923T000000,315000,4,2.5,2740,8400,1.5,0,2,3,8,2740,0,1993,0,98022,2030,8638,2014-09-23,2014,09,Q3,21,0,114.96350364963503,52197.42665514342,6
47.1948,-121.975,8141310040,20140627T000000,246950,3,3,1670,4440,1,0,0,3,7,1670,0,2014,0,98022,1670,4622,2014-06-27,2014,06,Q2,0,0,147.87425149700599,53407.0626793777,6
47.1948,-121.975,8141310040,20140627T000000,246950,3,3,1670,4440,1,0,0,3,7,1670,0,2014,0,98022,1670,4622,2014-06-27,2014,06,Q2,0,0,147.87425149700599,53407.0626793777,6
47.1948,-121.975,8141310030,20140730T000000,256703,3,2,1670,4441,1,0,0,3,7,1670,0,2014,0,98022,1670,4622,2014-07-30,2014,07,Q3,0,0,153.71437125748503,53407.0626793777,6
47.1948,-121.975,8141310030,20140730T000000,256703,3,2,1670,4441,1,0,0,3,7,1670,0,2014,0,98022,1670,4622,2014-07-30,2014,07,Q3,0,0,153.71437125748503,53407.0626793777,6
47.1949,-121.982,5702380630,20150114T000000,235000,3,2.25,1670,7606,2,0,0,3,7,1670,0,1990,0,98022,1670,7433,2015-01-14,2015,01,Q1,25,0,140.7185628742515,53131.35881697701,6
47.1949,-121.989,6802200110,20141029T000000,231200,3,2,1400,8821,1,0,0,3,7,1400,0,1991,0,98022,1450,8721,2014-10-29,2014,10,Q4,23,0,165.14285714285714,52869.17782485111,6
47.1949,-122.01,2571910160,20141001T000000,283000,4,2.75,2130,8560,1,0,0,3,7,1560,570,1992,0,98022,2130,8560,2014-10-01,2014,10,Q4,22,0,132.8638497652582,52106.75676415129,6
47.1952,-121.976,8141300030,20150210T000000,340000,3,2,1920,5688,1,0,3,3,9,1920,0,2007,0,98022,2384,4802,2015-02-10,2015,02,Q1,8,0,177.08333333333334,53330.391127501716,6
47.1952,-121.986,6802200670,20141114T000000,272000,3,2.5,1680,8512,2,0,0,3,7,1680,0,1991,0,98022,1580,8512,2014-11-14,2014,11,Q4,23,0,161.9047619047619,52952.035050967854,6
47.1958,-121.974,8141300300,20150207T000000,293000,4,2.5,2019,4435,2,0,3,3,8,2019,0,2008,0,98022,1950,4800,2015-02-07,2015,02,Q1,7,0,145.12134720158494,53349.47748096514,6
47.1959,-122.01,2571910210,20141001T000000,305000,3,2,1680,8487,1,0,0,3,7,1680,0,1993,0,98022,2080,8560,2014-10-01,2014,10,Q4,21,0,181.54761904761904,52008.427577327086,6
47.196,-122.006,2620069195,20141104T000000,340000,4,1.75,2140,11651,2.5,0,0,3,8,2140,0,1930,2001,98022,2030,10978,2014-11-04,2014,11,Q4,84,13,158.8785046728972,52141.27657736056,6
47.1964,-122.009,2571910260,20141107T000000,324360,3,2.5,2000,9669,2,0,0,4,8,2000,0,1992,0,98022,1930,9202,2014-11-07,2014,11,Q4,22,0,162.18,51994.85203186438,6
47.1967,-121.966,7792000140,20150504T000000,369000,4,2.5,3060,27251,1.5,0,0,3,8,3060,0,2008,0,98022,1760,27251,2015-05-04,2015,05,Q2,7,0,120.58823529411765,53573.66718893285,6
47.1967,-121.998,349400100,20140908T000000,237500,3,1.75,1480,7830,1,0,0,3,7,1480,0,1980,0,98022,1130,7553,2014-09-08,2014,09,Q3,34,0,160.47297297297297,52362.43363616823,6
47.1969,-122.011,2571910380,20140605T000000,289000,3,2,1680,8424,1,0,0,3,7,1680,0,1993,0,98022,1990,8545,2014-06-05,2014,06,Q2,21,0,172.02380952380952,51874.633152841394,6
47.1976,-121.999,5437810320,20141117T000000,269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,0,98022,1950,8941,2014-11-17,2014,11,Q4,39,0,138.43589743589743,52238.17117719636,6
47.1981,-122.003,5437800020,20140808T000000,225000,3,1.75,1350,9793,1,0,0,4,7,1350,0,1968,0,98022,1690,8080,2014-08-08,2014,08,Q3,46,0,166.66666666666666,52043.84529602125,6
47.1983,-122,5437810360,20141107T000000,224500,3,1.75,1300,7735,1,0,0,4,7,1300,0,1980,0,98022,1300,8941,2014-11-07,2014,11,Q4,34,0,172.69230769230768,52133.41482581868,6
47.1985,-122.001,8880600070,20141112T000000,245000,4,2,1870,8750,1,0,2,3,7,1870,0,1977,0,98022,1770,8207,2014-11-12,2014,11,Q4,37,0,131.01604278074868,52077.44750627151,6
47.1986,-121.967,7792000025,20150211T000000,340000,3,1,3180,27586,1,0,0,3,8,1400,1780,1969,0,98022,2180,27586,2015-02-11,2015,02,Q1,46,0,106.91823899371069,53353.54300928519,6
47.1991,-122.013,2620069113,20140902T000000,380000,3,2.25,1600,39848,1,0,3,4,8,1600,0,1958,0,98022,1600,39848,2014-09-02,2014,09,Q3,56,0,237.5,51587.3901190735,6
47.1996,-122.003,764000155,20141107T000000,415000,4,1.5,2700,14760,1.5,0,0,5,9,2700,0,1940,0,98022,1670,7200,2014-11-07,2014,11,Q4,74,0,153.7037037037037,51897.33141390662,6
47.2004,-122.003,764000180,20150109T000000,295000,3,1.5,1670,10800,1,0,0,4,8,1670,0,1956,0,98022,1670,9169,2015-01-09,2015,01,Q1,59,0,176.64670658682635,51819.24130027486,6
47.201,-121.999,2372800050,20140521T000000,220000,3,1,1060,9126,1,0,2,5,7,1060,0,1956,0,98022,1300,9126,2014-05-21,2014,05,Q2,58,0,207.54716981132074,51907.078535005196,6
47.2015,-122.003,2938200170,20150320T000000,265000,4,2,1600,10160,1,0,0,4,7,1600,0,1972,0,98022,1540,9352,2015-03-20,2015,03,Q1,43,0,165.625,51711.925264781436,6
47.2015,-122.005,9321010130,20150312T000000,278500,3,1.75,1390,8980,1,0,0,4,8,1390,0,1985,0,98022,1770,9085,2015-03-12,2015,03,Q1,30,0,200.35971223021582,51639.16997825319,6
47.202,-121.994,2420069220,20141203T000000,209000,3,1,1320,3954,1.5,0,0,3,6,1320,0,1912,2014,98022,1270,5184,2014-12-03,2014,12,Q4,102,0,158.33333333333334,51995.014514277376,6
47.2021,-121.999,898000200,20150402T000000,219950,3,1,1200,7727,1,0,0,4,7,1200,0,1959,0,98022,1300,7718,2015-04-02,2015,04,Q2,56,0,183.29166666666666,51800.09932197235,6
47.2021,-122.002,2938200040,20141211T000000,224950,3,1.5,1630,9282,1,0,0,4,7,1630,0,1963,0,98022,1420,9282,2014-12-11,2014,12,Q4,51,0,138.00613496932516,51689.96234835507,6
47.2025,-121.999,898000220,20141001T000000,262500,3,1.5,1610,10291,1,0,0,4,7,1610,0,1961,0,98022,1410,7729,2014-10-01,2014,10,Q4,53,0,163.04347826086956,51761.21479298576,6
47.2026,-122,2938100010,20140924T000000,239000,3,1.75,1470,8925,1,0,0,4,7,1470,0,1957,0,98022,1430,9282,2014-09-24,2014,09,Q3,57,0,162.58503401360545,51714.66490161417,6
47.2032,-121.964,192700080,20150213T000000,312000,3,2.5,2070,25710,1,0,0,5,6,2070,0,1917,0,98022,1350,17998,2015-02-13,2015,02,Q1,98,0,150.7246376811594,53034.98787406786,6
47.2039,-122.003,2320069107,20140822T000000,185000,2,1,820,16030,1,0,0,4,5,820,0,1923,0,98022,1880,14046,2014-08-22,2014,08,Q3,91,0,225.609756097561,51478.0156729317,6
47.2041,-122.021,2220069203,20140908T000000,379500,4,2.25,2120,53578,2,0,2,4,7,2120,0,1985,0,98022,2120,53578,2014-09-08,2014,09,Q3,29,0,179.00943396226415,50812.84388778049,6
47.2043,-122.008,2320069248,20140701T000000,165050,3,1,1200,8514,1,0,0,3,7,1200,0,1959,0,98022,1210,8985,2014-07-01,2014,07,Q3,55,0,137.54166666666666,51256.85234818634,6
47.2046,-121.996,5595900280,20150318T000000,235000,3,1,1050,7670,1.5,0,0,5,7,1050,0,1955,0,98022,1220,7670,2015-03-18,2015,03,Q1,60,0,223.8095238095238,51668.62422399104,6
47.205,-121.995,5595900210,20141119T000000,195000,2,1,800,5280,1,0,0,5,6,800,0,1918,0,98022,1240,7670,2014-11-19,2014,11,Q4,96,0,243.75,51667.208224661605,6
47.205,-121.996,5595900316,20150129T000000,231000,4,1,1220,5120,1.5,0,0,5,6,1220,0,1940,0,98022,1540,7670,2015-01-29,2015,01,Q1,75,0,189.34426229508196,51629.879849826175,6
47.2051,-122.006,8091600080,20150123T000000,225000,3,1,1120,8407,1,0,0,5,6,1120,0,1987,0,98022,1250,8658,2015-01-23,2015,01,Q1,28,0,200.89285714285714,51251.437634208494,6
47.2056,-121.994,2420069042,20150424T000000,240000,3,2,1553,6550,1,0,0,3,7,1553,0,1900,2001,98022,1010,10546,2015-04-24,2015,04,Q2,115,14,154.539600772698,51646.6036048151,6
47.2056,-121.999,5602000275,20140825T000000,259950,4,2,1540,10212,1.5,0,0,5,7,1540,0,1948,0,98022,1480,10212,2014-08-25,2014,08,Q3,66,0,168.7987012987013,51460.16983575339,6
47.2057,-122.003,2320069089,20140930T000000,212000,3,1.5,1830,12233,1.5,0,0,4,5,1830,0,1930,0,98022,1520,12233,2014-09-30,2014,09,Q3,84,0,115.84699453551913,51302.79664072004,6
47.206,-121.998,5602000025,20150226T000000,251000,3,2,1200,10212,1.5,0,0,5,6,1200,0,1949,0,98022,1280,10212,2015-02-26,2015,02,Q1,66,0,209.16666666666666,51458.51366319892,6
47.2062,-121.993,7823700005,20140707T000000,295000,3,1.75,1940,7500,1.5,0,0,4,8,1940,0,1918,1985,98022,1650,7500,2014-07-07,2014,07,Q3,96,29,152.06185567010309,51626.18626570789,6
47.2064,-121.988,2420069268,20140821T000000,184900,2,1,1230,5000,1,0,0,5,6,1230,0,1911,0,98022,1230,5413,2014-08-21,2014,08,Q3,103,0,150.3252032520325,51796.063803168814,6
47.2068,-121.992,8005100360,20140916T000000,169900,3,1,910,5800,1.5,0,0,4,5,910,0,1900,0,98022,1400,6766,2014-09-16,2014,09,Q3,114,0,186.7032967032967,51605.95642587146,6
47.2069,-121.989,7195800009,20141210T000000,325000,6,3,2650,12870,1,0,0,4,7,2650,0,1977,0,98022,1450,8668,2014-12-10,2014,12,Q4,37,0,122.64150943396227,51709.92966997597,6
47.2069,-122.024,2220069003,20150223T000000,425000,3,2.75,1360,542322,1,0,2,4,7,1140,220,1955,0,98022,1700,60548,2015-02-23,2015,02,Q1,60,0,312.5,50431.489053238125,6
47.2073,-122.012,8078050120,20141210T000000,244000,3,2,1350,8587,1,0,0,3,7,1350,0,1998,0,98022,1350,8587,2014-12-10,2014,12,Q4,16,0,180.74074074074073,50818.89878451265,6
47.2074,-122.001,8661000033,20140627T000000,235000,3,1.75,1400,6300,1,0,0,3,7,1400,0,1998,0,98022,1400,8490,2014-06-27,2014,06,Q2,16,0,167.85714285714286,51211.38482574959,6
47.2077,-121.993,8005100540,20140709T000000,215000,4,1.5,1860,5040,1.5,0,0,5,8,1860,0,1920,0,98022,1680,5800,2014-07-09,2014,07,Q3,94,0,115.59139784946237,51481.39783579111,6
47.2077,-122.016,2320069189,20141027T000000,299990,2,1,1570,125452,1,0,3,4,7,1570,0,1953,0,98022,1660,46119,2014-10-27,2014,10,Q4,61,0,191.0764331210191,50635.98126864917,6
47.2078,-122.003,8661000148,20141028T000000,270000,3,2,1510,10215,1,0,0,4,7,1510,0,1995,0,98022,1370,8902,2014-10-28,2014,10,Q4,19,0,178.80794701986756,51098.60813322269,6
47.2079,-121.967,1920079103,20140911T000000,390500,2,1.75,1460,426450,1,0,0,5,7,960,500,1966,0,98022,1810,17350,2014-09-11,2014,09,Q3,48,0,267.4657534246575,52470.6665747189,6
47.208,-121.963,1920079062,20141222T000000,332000,5,1.5,2420,43560,1,0,2,3,8,1500,920,1962,0,98022,1620,17331,2014-12-22,2014,12,Q4,52,0,137.1900826446281,52621.15082685365,6
47.2083,-122.005,1645000310,20150225T000000,235000,3,1.5,1300,7600,1,0,0,4,7,1300,0,1963,0,98022,1570,7600,2015-02-25,2015,02,Q1,52,0,180.76923076923077,50976.33874166559,6
47.2087,-122.009,9432900070,20140902T000000,338150,4,2.25,2700,8580,2,0,0,3,8,2700,0,1992,0,98022,2420,8580,2014-09-02,2014,09,Q3,22,0,125.24074074074075,50790.9578245628,6
47.2088,-121.992,2420069242,20140925T000000,175000,2,1,740,3434,1,0,0,5,6,740,0,1920,0,98022,1160,6000,2014-09-25,2014,09,Q3,94,0,236.48648648648648,51413.14693114453,6
47.2089,-122.003,1645000580,20141002T000000,270000,4,2.5,1900,8282,1,0,0,3,7,1900,0,1968,1997,98022,1420,8350,2014-10-02,2014,10,Q4,46,17,142.10526315789474,50991.75364715486,6
47.209,-122.005,1645000097,20140809T000000,249000,3,1.75,1300,8500,1,0,0,4,7,1300,0,1964,0,98022,1410,7800,2014-08-09,2014,08,Q3,50,0,191.53846153846155,50908.25516130813,6
47.209,-122.012,8078050040,20140908T000000,250000,3,2,1140,11161,1,0,0,4,7,1140,0,1998,0,98022,1720,8587,2014-09-08,2014,09,Q3,16,0,219.2982456140351,50652.68055581769,6
47.2091,-122.009,9432900380,20141023T000000,280017,3,2.5,1850,8770,2,0,0,3,8,1850,0,1996,0,98022,2350,8606,2014-10-23,2014,10,Q4,18,0,151.36054054054054,50751.94752414257,6
47.2091,-122.009,9432900380,20141023T000000,280017,3,2.5,1850,8770,2,0,0,3,8,1850,0,1996,0,98022,2350,8606,2014-10-23,2014,10,Q4,18,0,151.36054054054054,50751.94752414257,6
47.2091,-122.009,9432900180,20140714T000000,307999,4,2.75,2420,8438,2,0,0,3,8,2420,0,1996,0,98022,2420,8580,2014-07-14,2014,07,Q3,18,0,127.27231404958678,50751.94752414257,6
47.2091,-122.009,9432900180,20140714T000000,307999,4,2.75,2420,8438,2,0,0,3,8,2420,0,1996,0,98022,2420,8580,2014-07-14,2014,07,Q3,18,0,127.27231404958678,50751.94752414257,6
47.2092,-121.997,2320069206,20150325T000000,219000,3,1,1250,8276,1.5,0,0,5,6,1250,0,1939,0,98022,1250,8792,2015-03-25,2015,03,Q1,76,0,175.2,51186.09355839437,6
47.2093,-121.962,1920079039,20140815T000000,269500,2,1,1140,74052,1,0,0,4,6,1140,0,1968,0,98022,1730,43560,2014-08-15,2014,08,Q3,46,0,236.40350877192984,52538.835179662055,6
47.2093,-122,7710100083,20150204T000000,225000,3,1,1020,8437,1,0,0,5,6,1020,0,1987,0,98022,1420,8500,2015-02-04,2015,02,Q1,28,0,220.58823529411765,51064.292933243945,6
47.2094,-121.996,8029200190,20141107T000000,227000,3,1,1280,7198,1,0,0,5,6,1280,0,1916,1983,98022,1260,7198,2014-11-07,2014,11,Q4,98,31,177.34375,51204.31248198876,6
47.2098,-122.004,1645000710,20150410T000000,255000,3,1,1140,8528,1,0,0,5,7,1140,0,1967,0,98022,1140,8112,2015-04-10,2015,04,Q2,48,0,223.68421052631578,50867.38736887644,6
47.2098,-122.016,2320069014,20140709T000000,495000,3,2,2660,192099,1,0,0,4,9,2660,0,1964,0,98022,2570,43561,2014-07-09,2014,07,Q3,50,0,186.09022556390977,50430.143846309795,6
47.2099,-122.001,8661000089,20140716T000000,199950,3,2.75,2270,13590,1.5,0,0,4,6,1300,970,1948,0,98022,1160,13545,2014-07-16,2014,07,Q3,66,0,88.08370044052863,50968.925918709996,6
47.2099,-122.043,2120069003,20141124T000000,220000,3,1,1000,223462,1,0,2,4,6,1000,0,1933,0,98022,1710,105850,2014-11-24,2014,11,Q4,81,0,220,49482.639968034746,6
47.2105,-121.989,1917300260,20141202T000000,210000,4,2,1520,6174,1.5,0,0,5,6,1520,0,1920,0,98022,1390,5407,2014-12-02,2014,12,Q4,94,0,138.1578947368421,51363.827911814835,6
47.2107,-121.99,2420069017,20150324T000000,152900,1,1,900,4368,1,0,0,5,6,900,0,1915,1950,98022,1290,5000,2015-03-24,2015,03,Q1,100,65,169.88888888888889,51306.40062059086,6
47.2109,-121.985,1917300025,20150127T000000,122000,2,1,860,6000,1,0,0,3,6,860,0,1945,0,98022,1300,6000,2015-01-27,2015,01,Q1,70,0,141.86046511627907,51479.187253749726,6
47.2109,-121.987,1917300105,20150414T000000,216500,3,1,1170,9000,1,0,0,4,6,1170,0,1918,0,98022,1280,8160,2015-04-14,2015,04,Q2,97,0,185.04273504273505,51402.14092659126,6
47.2113,-121.992,5706500140,20140818T000000,205500,2,1,900,6400,1,0,0,5,6,900,0,1938,0,98022,1320,6400,2014-08-18,2014,08,Q3,76,0,228.33333333333334,51172.47561287531,6
47.2113,-121.993,5706500385,20150129T000000,200000,2,1,1400,9600,1.5,0,0,4,6,1400,0,1941,0,98022,1230,9600,2015-01-29,2015,01,Q1,74,0,142.85714285714286,51134.45760967515,6
47.2117,-121.99,2420069201,20141107T000000,267000,3,2,1390,6005,2,0,0,3,8,1390,0,2005,0,98022,1264,5550,2014-11-07,2014,11,Q4,9,0,192.0863309352518,51210.34399137159,6
47.2118,-121.983,1565900070,20140721T000000,246500,3,2,1430,8919,1,0,0,3,7,1430,0,1992,0,98022,1580,8919,2014-07-21,2014,07,Q3,22,0,172.37762237762237,51470.56396252355,6
47.2123,-122.005,8556800090,20150430T000000,525000,5,3.5,3450,19080,2,0,3,3,9,3450,0,2001,0,98022,2570,17007,2015-04-30,2015,04,Q2,14,0,152.17391304347825,50587.672243075736,6
47.2126,-121.984,1565900390,20150415T000000,272000,4,2.25,1800,9018,2,0,0,3,7,1800,0,1992,0,98022,1670,9380,2015-04-15,2015,04,Q2,23,0,151.11111111111111,51355.31978181465,6
47.2132,-122.001,3925000020,20150224T000000,265000,3,2,1690,9516,1,0,0,3,7,1690,0,1997,0,98022,1850,9516,2015-02-24,2015,02,Q1,18,0,156.80473372781066,50649.4443857735,6
47.2133,-122.007,2320069260,20141027T000000,415000,3,2,2010,33090,1.5,0,2,5,8,2010,0,1986,0,98022,1840,22620,2014-10-27,2014,10,Q4,28,0,206.46766169154228,50416.60092751781,6
47.2137,-121.989,2420069604,20150330T000000,255000,3,2.5,1720,6200,2,0,0,3,7,1720,0,2014,0,98022,1710,9520,2015-03-30,2015,03,Q1,1,0,148.25581395348837,51056.852986079604,6
47.2137,-121.989,2420069604,20150330T000000,255000,3,2.5,1720,6200,2,0,0,3,7,1720,0,2014,0,98022,1710,9520,2015-03-30,2015,03,Q1,1,0,148.25581395348837,51056.852986079604,6
47.2137,-121.989,2420069278,20150319T000000,287000,3,2.5,1820,8722,1.5,0,0,3,7,1820,0,1926,2008,98022,1480,12285,2015-03-19,2015,03,Q1,89,7,157.69230769230768,51056.852986079604,6
47.2137,-121.989,2420069278,20150319T000000,287000,3,2.5,1820,8722,1.5,0,0,3,7,1820,0,1926,2008,98022,1480,12285,2015-03-19,2015,03,Q1,89,7,157.69230769230768,51056.852986079604,6
47.2138,-121.982,2420069003,20150331T000000,299000,3,2.5,1620,79993,1,0,2,4,6,1620,0,1960,0,98022,1620,15680,2015-03-31,2015,03,Q1,55,0,184.5679012345679,51318.66339511712,6
47.214,-121.993,1320069271,20140612T000000,342500,3,2,2080,11375,1,0,0,3,8,2080,0,2002,0,98022,1080,12899,2014-06-12,2014,06,Q2,12,0,164.66346153846155,50874.771412183916,6
47.2151,-121.993,1320069255,20140624T000000,199000,3,1,1000,8512,1,0,0,3,6,1000,0,1991,0,98022,1490,10395,2014-06-24,2014,06,Q2,23,0,199,50769.10265135369,6
47.2159,-121.964,1163400070,20141112T000000,220000,3,1,1660,21514,1,0,0,4,7,1660,0,1973,0,98022,1660,21600,2014-11-12,2014,11,Q4,41,0,132.53012048192772,51837.27502845947,6
47.2159,-121.966,1163400020,20150403T000000,251000,3,1.5,1590,21600,1.5,0,0,4,7,1590,0,1971,0,98022,1780,21600,2015-04-03,2015,04,Q2,44,0,157.86163522012578,51756.16406781539,6
47.2163,-121.984,1320069249,20141020T000000,192500,1,1,470,63737,1,0,2,5,5,470,0,1924,0,98022,1350,46762,2014-10-20,2014,10,Q4,90,0,409.5744680851064,51002.252998281154,6
47.2175,-121.995,1320069223,20140624T000000,358000,3,1.5,1810,100188,1,0,0,5,7,1810,0,1969,0,98022,1540,40415,2014-06-24,2014,06,Q2,45,0,197.79005524861878,50462.14251813852,6
47.2194,-122.059,1284000010,20140805T000000,330000,4,1.75,1550,50094,1,0,3,4,6,1550,0,1967,0,98022,1720,50094,2014-08-05,2014,08,Q3,47,0,212.90322580645162,48002.37438045654,6
47.2215,-122.067,1720069075,20150508T000000,530000,3,3,2450,211266,1.5,0,3,3,8,2450,0,2004,0,98022,2300,263492,2015-05-08,2015,05,Q2,11,0,216.3265306122449,47532.4093716982,6
